,Dept ID,Department,Network,GeoNetwork,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student,Attendance Rate
24771,24771,Oriole Park School,Network 1,NETWORK 1,112,0,9139081.0,0,605,6490.33,92.4
24431,24431,Cyrus H Mccormick School,Network 7,NETWORK 7,116,0,8726133.0,0,454,7792.95,91.5
25581,25581,Mancel Talcott School,Network 6,NETWORK 6,120,0,8387881.0,0,529,6676.0,92.9
25631,25631,Enrico Tonti School,Network 8,NETWORK 8,150,0,12297822.0,0,783,6774.4,90.7
70020,70020,Walter Payton College Prep HS,Network 15,NETWORK 15,213,0,17503965.0,0,1256,6034.53,92.4
29071,29071,Gerald Delgado Kanoon Mag Sch,Network 7,NETWORK 7,89,0,7366003.0,0,342,9194.61,88.8
25471,25471,Adlai E Stevenson School,Network 10,NETWORK 10,226,0,16788972.0,0,1136,5893.88,91.2
25951,25951,Richard J Daley Academy,Network 8,NETWORK 8,95,0,7174822.0,0,485,5873.38,90.7
31211,31211,Pulaski International School of Chicago,Network 6,NETWORK 6,160,0,11600255.0,0,907,5294.03,93.2
24711,24711,Norwood Park School,Network 1,NETWORK 1,64,0,5474486.0,0,298,7904.42,93.3
24201,24201,Carl Von Linne School,Network 4,NETWORK 4,112,0,9037776.0,0,693,5854.42,93.2
23041,23041,John F Eberhart School,Network 10,NETWORK 10,184,0,15256677.0,0,969,6678.9,89.2
22201,22201,Jean Baptiste Beaubien School,Network 1,NETWORK 1,163,0,13001880.0,0,1002,5226.91,92.4
24941,24941,Mary G Peterson School,Network 1,NETWORK 1,168,0,12378376.0,0,872,6113.26,91.9
46331,46331,George Washington High School,Network 17,NETWORK 17,273,0,20865536.0,0,1522,5667.9,82.9
30011,30011,Nancy B Jefferson Alt School,,,112,0,12468171.0,0,0,0.0,0.0
23811,23811,Rufus M Hitch School,Network 1,NETWORK 1,97,0,7995192.0,0,493,7103.22,92.8
46421,46421,Benito Juarez High School,Network 15,NETWORK 15,282,0,23798678.0,0,1656,6320.06,76.4
25071,25071,William H Ray School,Network 9,NETWORK 9,114,0,8525469.0,0,628,5562.73,91.4
45211,45211,Chicago Academy School,Network 1,NETWORK 1,111,0,8396099.0,0,543,6426.22,92.1
25031,25031,Ernst Prussing,Network 1,NETWORK 1,119,0,9717899.0,0,643,6523.7,90.6
24281,24281,Mary Lyon School,Network 3,NETWORK 3,172,0,14966795.0,0,963,6721.12,90.8
25021,25021,William H Prescott School,Network 4,NETWORK 4,91,0,7265080.0,0,475,6472.92,94.0
23901,23901,Charles Evans Hughes School,Network 7,NETWORK 7,58,0,3279925.0,0,165,7767.49,88.8
23401,23401,William P Gray School,Network 1,NETWORK 1,165,0,14480351.0,0,984,6423.5,90.7
46511,46511,Lindblom Math & Science Acad,Network 16,NETWORK 16,251,0,18912173.0,0,1304,6158.25,88.9
46381,46381,Carver Military Acad HS,Network 17,NETWORK 17,92,0,7650086.0,0,446,6132.04,86.5
24841,24841,Park Manor School,Network 12,NETWORK 12,67,0,4400693.0,0,256,6388.12,93.1
25881,25881,Wildwood IB World Magnet,Network 1,NETWORK 1,98,0,7458589.0,0,521,5782.28,94.0
46021,46021,Hancock High School,Network 15,NETWORK 16,172,0,13397647.0,0,1049,5645.64,92.1
24611,24611,Wolfgang A Mozart School,Network 4,NETWORK 4,125,0,8966928.0,0,474,7612.41,88.5
23591,23591,Helge A Haugan School,ISP,NETWORK 1,201,0,15506032.0,0,1046,6340.33,92.1
22831,22831,Peter Cooper Dual Language Academy,Network 7,NETWORK 7,99,0,8032783.0,0,426,7811.81,92.6
22171,22171,Newton Bateman Elem,Network 1,NETWORK 1,165,0,13116118.0,0,882,6282.14,92.8
25241,25241,Jonathan Y Scammon School,Network 1,NETWORK 1,115,0,8971194.0,0,600,6482.69,90.2
46361,46361,Kenwood Academy,Network 17,NETWORK 17,335,0,26558335.0,0,2242,4990.54,88.6
29041,29041,Turner-Drew Language Academy,Network 11,NETWORK 11,52,0,4444232.0,0,176,9534.26,93.1
22751,22751,DeWitt Clinton School,ISP,NETWORK 2,180,0,14322263.0,0,1046,5948.5,90.7
23461,23461,Robert L Grimes School,Network 10,NETWORK 10,79,0,6317930.0,0,362,7590.13,91.2
25381,25381,Shoop Math Sci Tech Acad,Network 13,NETWORK 13,103,0,6983544.0,0,452,5637.49,92.3
29141,29141,Galileo Scholastic Academy Of Math & Science,Network 6,NETWORK 6,103,0,8901006.0,0,553,6561.79,93.6
46241,46241,Stephen T Mather High School,Network 14,NETWORK 14,285,0,25216303.0,0,1717,6407.5,84.1
26331,26331,Richard Henry Lee School,ISP,NETWORK 10,118,0,8468073.0,0,572,6164.14,91.7
23991,23991,Joshua D Kershaw School,Network 11,NETWORK 11,75,0,5252141.0,0,212,8366.0,91.3
46301,46301,Roger C Sullivan High School,Network 14,NETWORK 14,155,0,11487288.0,0,792,5844.38,75.3
24681,24681,William P Nixon School,Network 4,NETWORK 4,131,0,9850799.0,0,663,6348.64,90.1
25431,25431,Hannah G Solomon School,Network 1,NETWORK 1,91,0,6796260.0,0,310,8616.81,90.9
29201,29201,Mark Sheridan Mathematics & Science Academy,Network 6,NETWORK 6,88,0,7051333.0,0,517,5503.5,95.2
22241,22241,Frank I Bennett School,Network 13,NETWORK 13,56,0,4741613.0,0,288,6455.06,90.6
22501,22501,Michael M Byrne School,Network 10,NETWORK 10,130,0,9325091.0,0,582,6166.67,90.9
22541,22541,Arthur E Canty,Network 1,NETWORK 1,162,0,12707766.0,0,798,6658.49,92.1
24661,24661,Louis Nettelhorst School,Network 4,NETWORK 4,123,0,9429046.0,0,646,6325.1,92.8
23541,23541,William F Finkl School,Network 7,NETWORK 7,90,0,6119116.0,0,218,9802.48,89.8
46211,46211,Lake View High School,Network 14,NETWORK 14,272,0,21532438.0,0,1466,6243.12,79.0
25371,25371,Beulah Shoesmith School,Network 9,NETWORK 9,70,0,5394641.0,0,298,7426.65,88.4
23361,23361,Virgil Grissom School,Network 13,NETWORK 13,75,0,5331463.0,0,269,7989.28,90.9
22181,22181,Lillian R Nicholson Sch-Mth/Sc,Network 11,NETWORK 11,92,0,6329146.0,0,460,5125.94,93.5
53061,53061,Neal F Simeon Voc High School,Network 17,NETWORK 16,232,0,18000583.0,0,1146,6271.6,82.5
24631,24631,Ronald H Brown Community Academy,Network 13,NETWORK 13,57,0,4489875.0,0,256,6941.22,92.3
46401,46401,Percy L Julian High School,Network 16,NETWORK 16,114,0,8850133.0,0,425,8133.05,74.1
24531,24531,James Monroe School,Network 4,NETWORK 4,139,0,11001678.0,0,606,7819.53,90.1
