,Dept ID,Department,Network,GeoNetwork,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student,Attendance Rate
11880,11880,Facility Opers & Maint - City Wide,,,1362,0,52141922.0,0,0,0.0,0.0
12050,12050,Nutrition Support Services CW,,,217,0,4684777.0,0,0,0.0,0.0
12410,12410,Accounting,,,51,0,4279715.0,0,0,0.0,0.0
53121,53121,Edward Tilden Career Commmunity Academy,Network 16,NETWORK 16,93,0,5891937.0,0,241,9075.02,74.3
25061,25061,Ravenswood School,Network 2,NETWORK 2,107,0,8160540.0,0,516,6805.05,92.7
11890,11890,CPS Warehouse,,,32,0,2613098.0,0,0,0.0,0.0
11540,11540,Language & Cultural Education - City Wide,,,64,0,4192919.0,0,0,0.0,0.0
66281,66281,Chicago Math & Science Chtr,Charter,NETWORK 14,2,0,54001.0,0,615,0.0,94.0
14050,14050,Ofc of Student Hlth & Wellness,,,158,0,10108476.0,0,0,0.0,0.0
23641,23641,Wendell Smith School,Network 13,NETWORK 13,89,0,5827035.0,0,339,6514.05,94.9
10615,10615,CW Safety and Security,,,908,0,18911173.0,0,0,0.0,0.0
24781,24781,Brian Piccolo School,Network 5,NETWORK 5,141,0,9104926.0,0,580,6382.2,89.6
26521,26521,Amos A Stagg School,Network 11,NETWORK 11,83,0,5386567.0,0,347,5772.09,91.1
23771,23771,Theodore Herzl School,Network 7,NETWORK 7,125,0,7251239.0,0,402,6137.24,86.9
23271,23271,Melville W Fuller School,Network 9,NETWORK 9,75,0,4386425.0,0,273,6331.27,87.9
10610,10610,Safety & Security,,,55,0,3780027.0,0,0,0.0,0.0
24341,24341,Marquette Elementary,Network 10,NETWORK 10,210,0,13457470.0,0,974,5488.61,92.5
24011,24011,Pablo Casals School,Network 5,NETWORK 5,84,0,5416439.0,0,305,7574.85,93.1
12610,12610,Budget and Management Office,,,74,0,5701675.0,0,0,0.0,0.0
52011,52011,World Language High School (at Little Village),Network 15,NETWORK 15,88,0,7464137.0,0,399,8184.75,86.0
26791,26791,Tarkington School of Excellence,Network 10,NETWORK 10,166,0,11825137.0,0,785,6188.06,91.3
26861,26861,Uplift Community High School,Network 14,NETWORK 14,96,0,6190370.0,0,237,8456.75,78.9
26881,26881,Suder Montessori Magnet School,Network 6,NETWORK 6,104,0,6874979.0,0,447,5297.47,91.2
66351,66351,ASPIRA - Haugan Middle,,,5,0,107417.0,0,0,0.0,0.0
66321,66321,University of Chicago Charter School - Donoghue Campus,,,4,0,124961.0,0,0,0.0,0.0
66151,66151,Alain Locke Charter School,,,3,0,68680.0,0,0,0.0,0.0
46521,46521,Devry University Adv Academy,,,27,0,2027874.0,0,0,0.0,0.0
26891,26891,Velma Thomas Early Child Ctr,,,59,0,4074713.0,0,0,0.0,0.0
12510,12510,Information & Technology Svcs,,,167,0,15788061.0,0,0,0.0,0.0
10210,10210,Law Office,,,101,0,9440558.0,0,0,0.0,0.0
11010,11010,Talent Office,,,172,0,13665970.0,0,0,0.0,0.0
10760,10760,Student Protections/Title IX,,,51,0,3783480.0,0,0,0.0,0.0
11201,11201,Access and Enrollment,,,18,0,1530026.0,0,0,0.0,0.0
10110,10110,Board of Trustees,,,9,0,888214.0,0,0,0.0,0.0
10430,10430,Internal Audit & Compliance,,,15,0,1154328.0,0,0,0.0,0.0
12430,12430,Accounts Payable,,,19,0,1210318.0,0,0,0.0,0.0
12210,12210,Procurement and Contracts,,,30,0,2452755.0,0,0,0.0,0.0
12010,12010,Nutrition Support Services,,,31,0,2193140.0,0,0,0.0,0.0
10320,10320,Inspector General,,,58,0,4484927.0,0,0,0.0,0.0
10910,10910,LSC Relations,,,15,0,1218710.0,0,0,0.0,0.0
11360,11360,Early Childhood Development,,,8,0,809654.0,0,0,0.0,0.0
5261,5261,Department of JROTC,,,13,0,1170064.0,0,0,0.0,0.0
11220,11220,Policy and Procedures,,,11,0,767442.0,0,0,0.0,0.0
10510,10510,Communications Office,,,20,0,1686018.0,0,0,0.0,0.0
11870,11870,Student Transportation,,,38,0,2604853.0,0,0,0.0,0.0
12625,12625,CW - Grant Funded Pgms Office,,,10,0,755820.0,0,0,0.0,0.0
12450,12450,Payroll Services,,,50,0,3217326.0,0,0,0.0,0.0
25341,25341,William T Sherman Sch of Excel,Network 8,NETWORK 8,64,0,4116463.0,0,211,7162.27,89.1
11210,11210,Student Assessment and MTSS,,,32,0,2548911.0,0,0,0.0,0.0
12440,12440,Treasury,,,5,0,506748.0,0,0,0.0,0.0
11910,11910,Real Estate,,,13,0,1047985.0,0,0,0.0,0.0
12460,12460,Risk Management,,,4,0,323226.0,0,0,0.0,0.0
11610,11610,Diverse Learner Supt&Svcs,,,84,0,5873012.0,0,0,0.0,0.0
29411,29411,Frazier Intl Baccl Mag School,ISP,NETWORK 5,51,0,3379150.0,0,132,10291.61,91.3
46621,46621,Austin College and Career Acad,Network 15,NETWORK 15,60,0,4301488.0,0,148,10297.72,61.5
23581,23581,John Harvard Elem Sch of Excel,Network 11,NETWORK 11,98,0,5627010.0,0,359,5780.45,89.9
12150,12150,City Wide Capital Operations,,,5,0,668969.0,0,0,0.0,0.0
49131,49131,Collins Academy High School,Network 15,NETWORK 15,84,0,5441495.0,0,239,9084.56,80.5
66254,66254,ASPIRA Charter - Early College Campus,Charter,NETWORK 14,2,0,53491.0,0,280,0.0,86.2
29101,29101,LaSalle Language Magnet School,ISP,NETWORK 6,111,0,8745571.0,0,587,6294.81,93.6
29391,29391,Davis Magnet School,ISP,NETWORK 11,51,0,3321483.0,0,130,9592.38,93.3
23281,23281,Robert Fulton School,Network 8,NETWORK 8,91,0,5715390.0,0,324,7713.71,88.5
12280,12280,Business Diversity,,,7,0,596466.0,0,0,0.0,0.0
26921,26921,Disney II Magnet School,Network 14,NETWORK 1,220,0,17437922.0,0,427,17297.18,93.3
28151,28151,Orr Academy,Network 15,NETWORK 15,79,0,5222235.0,0,309,6248.64,66.6
26091,26091,Morton School of Excellence,Network 5,NETWORK 5,74,0,5187418.0,0,271,7834.76,89.6
28081,28081,Edison Park Elementary School,Network 1,NETWORK 1,115,0,8528050.0,0,408,8060.4,93.0
11510,11510,Language & Cultural Education,,,7,0,863840.0,0,0,0.0,0.0
23851,23851,Julia Ward Howe School,Network 3,NETWORK 3,90,0,6424612.0,0,344,7592.56,89.3
11860,11860,Facility Operations & Maint,,,16,0,1624136.0,0,0,0.0,0.0
15500,15500,Planning and Data Management,,,8,0,717374.0,0,0,0.0,0.0
10811,10811,School Quality Measurement,,,16,0,1338591.0,0,0,0.0,0.0
22841,22841,Anna R. Langford Comm Acad,Network 11,NETWORK 11,55,0,4117703.0,0,154,10337.54,92.4
26141,26141,John Fostr Dulles Sch of Excel,Network 9,NETWORK 9,107,0,7539654.0,0,647,4387.95,92.9
26541,26541,Carter G Woodson South,Network 9,NETWORK 9,81,0,5716911.0,0,273,7918.68,84.4
14060,14060,Family & Community Engagement,,,39,0,2666975.0,0,0,0.0,0.0
45231,45231,Air Force Academy High School,Network 16,NETWORK 16,60,0,4879702.0,0,143,13471.26,86.9
22441,22441,Irene C. Hernandez Middle Schl,ISP,NETWORK 8,140,0,11250812.0,0,714,6860.9,91.7
22251,22251,South Shore Fine Arts Academy,Network 12,NETWORK 12,93,0,6368949.0,0,209,11321.15,90.5
53071,53071,George Westinghouse High School,Network 15,NETWORK 15,231,0,17657455.0,0,1260,5913.46,86.2
26231,26231,James W Johnson Sch of Excel,Network 5,NETWORK 5,64,0,4224310.0,0,169,9444.21,89.9
22591,22591,Skinner North,Network 4,NETWORK 4,78,0,6032925.0,0,510,5133.75,94.4
70241,70241,Alcott College Prep HS,Network 15,NETWORK 15,100,0,7205305.0,0,371,7791.85,86.6
22581,22581,Dr. Jorge Prieto Math & Sci Ac,Network 3,NETWORK 3,148,0,12902149.0,0,702,7999.44,91.6
22451,22451,Hughes/Davis,Network 13,NETWORK 13,127,0,9321691.0,0,435,8396.36,86.8
46111,46111,Christian Fenger Academy,Network 17,NETWORK 17,70,0,4475082.0,0,214,7912.37,76.3
10710,10710,Executive Office,,,8,0,1140021.0,0,0,0.0,0.0
63081,63081,EPIC Academy,Charter,NETWORK 17,3,0,68209.0,0,261,0.0,80.0
13737,13737,CW Sports and Facilities Mgmt,,,25,0,1799929.0,0,0,0.0,0.0
10810,10810,Office of Teaching & Learning,,,42,0,3357356.0,0,0,0.0,0.0
14040,14040,External Affairs & Partnership,,,7,0,569406.0,0,0,0.0,0.0
2541,2541,Principal Quality,,,25,0,1808169.0,0,0,0.0,0.0
22291,22291,Bradwell Comm Arts and Sci,Network 12,NETWORK 12,93,0,5620280.0,0,475,4759.52,83.4
22341,22341,Federico Garcia Lorca School,Network 4,NETWORK 4,132,0,10815750.0,0,627,7409.76,91.6
23061,23061,George W Curtis School,Network 13,NETWORK 13,85,0,5478983.0,0,327,6366.27,86.7
22931,22931,Charles S Deneen School,Network 12,NETWORK 12,97,0,6896108.0,0,408,6588.06,90.1
22921,22921,Mariano Azuela Elementary School,Network 10,NETWORK 10,132,0,9756182.0,0,668,6227.23,90.1
22381,22381,West Ridge Elementary School,ISP,NETWORK 2,145,0,10863423.0,0,605,7332.67,90.8
22691,22691,Marvin Camras Elementary School,ISP,NETWORK 3,155,0,12704084.0,0,690,7988.92,91.7
46261,46261,Wendell Phillips Academy,Network 17,NETWORK 17,109,0,6609613.0,0,444,5631.44,63.5
46101,46101,Eric Solorio Academy HS,Network 15,NETWORK 15,230,0,17964325.0,0,1246,5922.16,89.1
47041,47041,John Marshall Metro High Schoo,Network 15,NETWORK 15,77,0,4731725.0,0,205,8752.68,68.2
10450,10450,Intergovernmental Relations,,,8,0,693556.0,0,0,0.0,0.0
13725,13725,Early College and Career,,,33,0,1685980.0,0,0,0.0,0.0
63091,63091,Chicago Technical Acad HS,Contract,NETWORK 15,3,0,41832.0,0,340,0.0,87.3
10814,10814,Pre-K - 12 Curriculum,,,38,0,3560996.0,0,0,0.0,0.0
46631,46631,South Shore Intl Colg Prep HS,Network 17,NETWORK 17,124,0,10310592.0,0,626,6229.56,81.7
22711,22711,STEM Magnet Academy,ISP,NETWORK 6,74,0,5828902.0,0,404,6342.9,95.1
63051,63051,Chicago HS for Arts,Contract,NETWORK 15,5,0,116591.0,0,569,0.0,90.6
11371,11371,Student Support and Engagement,,,51,0,3147832.0,0,0,0.0,0.0
10871,10871,STEM Programs,,,37,0,3934062.0,0,0,0.0,0.0
13700,13700,Literacy,,,18,0,1721967.0,0,0,0.0,0.0
10813,10813,Soc Science & Civic Engagement,,,15,0,1493774.0,0,0,0.0,0.0
10890,10890,Arts,,,17,0,1600375.0,0,0,0.0,0.0
10895,10895,Social and Emotional Learning,,,28,0,2122376.0,0,0,0.0,0.0
10845,10845,Adv Learning and Specialty Prg,,,25,0,2451739.0,0,0,0.0,0.0
11110,11110,Network Support,,,34,0,3385572.0,0,0,0.0,0.0
10875,10875,CW-Pathwys to Collge & Careers,,,41,0,2448597.0,0,0,0.0,0.0
10816,10816,Chief Education Office,,,6,0,898950.0,0,0,0.0,0.0
66031,66031,KIPP - Create College Prep,,,5,0,134273.0,0,0,0.0,0.0
27091,27091,James Shields Middle School,Network 8,NETWORK 8,79,0,6716370.0,0,334,8395.64,89.4
11070,11070,Talent Office - Citywide,,,273,0,1380310.0,0,0,0.0,0.0
46611,46611,Goode STEM Academy,Network 16,NETWORK 16,187,0,15407733.0,0,983,6503.71,85.7
10850,10850,Counseling & Pstsecondary Adv,,,13,0,1050776.0,0,0,0.0,0.0
66261,66261,KIPP Ascend Charter School,,,3,0,58937.0,0,0,0.0,0.0
11385,11385,City Wide Early Childhood,,,36,0,2704971.0,0,0,0.0,0.0
