Dept ID,Department,Network,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student
32031,National Teachers' Academy (NTA),Network 6,67,46,4197470,3247908,696,4666.59
41041,Francisco I Madero Middle School,Network 7,34,14,1946759,851256,223,3817.3
45221,Rickover Naval Academy,ISP,53,33,3584721,2111439,537,3931.9
46471,Al Raby High School,Network 15,56,29,2577041,1585791,122,12998.29
22951,Dewey Academy Of Multiclt Stud,Network 8,52,28,2442816,1481472,247,5997.85
31201,Parkside Community Academy School,Network 12,34,17,1409508,854783,242,3532.16
12670,City Wide Education General,,209,172,14189030,12614636,0,0.0
11940,School Transportation CW,,813,0,10685231,0,0,0.0
11880,Facility Opers & Maint - City Wide,,865,0,32039445,0,0,0.0
23771,Theodore Herzl School,Network 7,91,40,3655679,2037241,402,5067.78
12050,Nutrition Support Services - City Wide,,320,0,7261857,0,0,0.0
12410,Corporate Accounting,,28,0,1754227,0,0,0.0
53121,Edward Tilden Career Commmunity Academy,Network 16,48,24,2588731,1673017,242,6913.33
11890,CPS Warehouse,,31,0,1992356,0,0,0.0
11540,Language & Cultural Education - City Wide,,31,0,2493813,0,0,0.0
14050,Ofc of Student Hlth & Wellness,,84,0,4636320,0,0,0.0
23641,Wendell Smith School,Network 13,42,22,2253997,1529897,327,4678.57
24781,Brian Piccolo Elementary School,Network 5,66,41,3201442,2351385,578,4068.13
26521,Amos A Stagg School,Network 11,41,25,2028799,1387998,359,3866.27
23271,Melville W Fuller School,Network 9,42,24,1837954,1093477,274,3990.8
10615,CW Safety and Security,,109,0,3619428,0,0,0.0
10610,Safety & Security,,46,0,2545962,0,0,0.0
24341,Marquette Elementary,Network 10,124,69,5987687,4019668,947,4244.65
24011,Pablo Casals School,Network 5,47,30,2591122,1791803,301,5952.88
12610,Budget and Management Office,,41,0,3056450,0,0,0.0
52011,World Language High School (at Little Village),Network 15,39,28,2497562,1921015,406,4731.56
26791,Tarkington School of Excellence,Network 10,104,62,5589283,3954831,775,5103.05
26861,Uplift Community High School,Network 14,51,22,2431655,1343895,234,5743.15
26881,Suder Montessori Magnet School,Network 6,60,26,3093808,1898329,446,4256.34
66351,ASPIRA Charter-Haugan Middle,,5,0,127394,0,0,0.0
66321,University of Chicago Charter School - Donoghue Campus,,4,0,104899,0,0,0.0
66151,Alain Locke Charter School,,3,0,56830,0,0,0.0
46521,Devry University Adv Academy,,13,10,999762,758678,0,0.0
26891,Velma Thomas Early Child Ctr,,35,17,1903398,1121056,0,0.0
66331,Erie Elementary Charter School,,2,0,39384,0,0,0.0
12510,Information & Technology Svcs,,133,0,11160601,0,0,0.0
10210,Law Office,,86,0,6604929,0,0,0.0
11010,Talent Office,,112,0,7611755,0,0,0.0
11201,Access and Enrollment,,18,0,1325842,0,0,0.0
10110,Board of Trustees,,8,0,840000,0,0,0.0
15010,School Support Center,,88,0,4950005,0,0,0.0
12210,Procurement and Contracts,,20,0,1535289,0,0,0.0
12010,Nutrition Support Services,,26,0,1578391,0,0,0.0
10910,LSC Relations,,12,0,817267,0,0,0.0
5261,Department of JROTC,,13,0,1094066,0,0,0.0
10320,Inspector General,,48,0,3051100,0,0,0.0
11360,Early Childhood Development,,8,0,548375,0,0,0.0
12430,Accounts Payable,,11,0,647378,0,0,0.0
10510,Communications Office,,14,0,1003425,0,0,0.0
11610,Diverse Learner Supt&Svcs,,68,0,5059223,0,0,0.0
11870,Student Transportation,,34,0,2073834,0,0,0.0
12625,CW - Grant Funded Pgms Office,,10,0,610292,0,0,0.0
12450,Payroll Services,,24,0,1509842,0,0,0.0
25341,William T. Sherman Elementary School of Excellence,Network 8,36,17,1786987,1073618,210,5112.48
12440,Treasury,,5,0,365225,0,0,0.0
11910,Real Estate,,9,0,624789,0,0,0.0
12460,Risk Management,,3,0,172918,0,0,0.0
49161,TEAM Englewood Comm Academy,,17,5,289376,176745,0,0.0
29411,Frazier Intl Baccl Mag School,ISP,25,18,1549722,1159105,129,8985.3
46621,VOISE Academy HS,Network 15,41,18,2102317,1085934,153,7097.62
23581,John Harvard Elementary School of Excellence,Network 11,45,20,2149522,1292108,359,3599.19
26901,Frazier Prepartatory Academy,,4,0,73733,0,0,0.0
49131,Collins Academy High School,Network 15,41,23,2127776,1462142,241,6066.98
