School_ID,Short_Name,Long_Name
609958,GUNSAULUS,Frank W Gunsaulus Elementary Scholastic Academy
609959,HAINES,John Charles Haines Elementary School
609960,HALE,Nathan Hale Elementary School
609961,NINOS HEROES,Ninos Heroes Elementary Academic Center
609963,HAMILTON,Alexander Hamilton Elementary School
609964,HAMLINE,John H Hamline Elementary School
609966,HAMMOND,Charles G Hammond Elementary School
609967,FINKL,William F Finkl Elementary School
609968,MCAULIFFE,Sharon Christa McAuliffe Elementary School
609969,HARTE,Bret Harte Elementary School
609971,HARVARD,John Harvard Elementary School of Excellence
609972,HAUGAN,Helge A Haugan Elementary School
609973,ZAPATA,Emiliano Zapata Elementary Academy
609974,HAWTHORNE,Hawthorne Elementary Scholastic Academy
609975,HAY,John Hay Elementary Community Academy
609976,HAYT,Stephen K Hayt Elementary School
609977,WOODLAWN,Woodlawn Community Elementary School
609978,SMITH,Wendell Smith Elementary School
609979,HEALY,Robert Healy Elementary School
609981,HEARST,Phoebe Apperson Hearst Elementary School
609983,HEDGES,James Hedges Elementary School
609985,HEFFERAN,Helen M Hefferan Elementary School
609986,HENDERSON,Charles R Henderson Elementary School
609987,HENDRICKS,Thomas A Hendricks Elementary Community Academy
609988,HENRY,Patrick Henry Elementary School
609990,SOUTH LOOP,South Loop Elementary School
609991,HERZL,Theodore Herzl Elementary School
609993,LARA,Agustin Lara Elementary Academy
609994,HIBBARD,William G Hibbard Elementary School
609995,HITCH,Rufus M Hitch Elementary School
609996,HOLDEN,Charles N Holden Elementary School
609997,HOLMES,Oliver Wendell Holmes Elementary School
610000,HOWE,Julia Ward Howe Elementary School of Excellence
610002,HOYNE,Thomas Hoyne Elementary School
610003,CUFFE,Paul Cuffe Math-Science Technology Academy ES
610004,CULLEN,Countee Cullen Elementary School
610005,HUGHES C,Charles Evans Hughes Elementary School
610006,HURLEY,Edward N Hurley Elementary School
610009,GALILEO,Galileo Math & Science Scholastic Academy ES
610010,JAHN,Friedrich L. Jahn Elementary of the Fine Arts
610011,JAMIESON,Minnie Mars Jamieson Elementary School
610013,PILSEN,Pilsen Elementary Community Academy
610016,KELLOGG,Kate S Kellogg Elementary School
610015,JUNGMAN,Joseph Jungman Elementary School
610017,SAUCEDO,Maria Saucedo Elementary Scholastic Academy
610019,KERSHAW,Joshua D Kershaw Elementary School
610021,CASALS,Pablo Casals Elementary School
610022,KILMER,Joyce Kilmer Elementary School
610024,CARDENAS,Lazaro Cardenas Elementary School
610026,KINZIE,John H Kinzie Elementary School
610027,KIPLING,Rudyard Kipling Elementary School
610029,LOZANO,Rodolfo Lozano Bilingual & International Ctr ES
610030,KOZMINSKI,Charles Kozminski Elementary Community Academy
610032,GREEN,Wendell E Green Elementary School
610033,LASALLE,LaSalle Elementary Language Academy
610034,LAWNDALE,Lawndale Elementary Community Academy
610036,LEWIS,Leslie Lewis Elementary School
610037,LIBBY,Arthur A Libby Elementary School
610038,LINCOLN,Abraham Lincoln Elementary School
610039,VON LINNE,Carl von Linne Elementary School
610040,LLOYD,Henry D Lloyd Elementary School
610041,LOCKE J,Josephine C Locke Elementary School
610043,LOVETT,Joseph Lovett Elementary School
610044,LOWELL,James Russell Lowell Elementary School
610046,LYON,Mary Lyon Elementary School
610047,MADISON,James Madison Elementary School
610048,MANIERRE,George Manierre Elementary School
610053,MARQUETTE,Marquette Elementary School
610051,NORTHWEST,Northwest Middle School
610052,MANN,Horace Mann Elementary School
610054,MARSH,John L Marsh Elementary School
610055,FARADAY,Michael Faraday Elementary School
610056,MASON,Roswell B Mason Elementary School
610057,FAIRFIELD,Fairfield Elementary Academy
610059,MAYER,Oscar Mayer Magnet School
610060,Chicago World Language Academy,Chicago World Language Academy
610062,MCCLELLAN,George B McClellan Elementary School
610063,MCCORMICK,Cyrus H McCormick Elementary School
610065,TILL,Emmett Louis Till Math and Science Academy
610066,MCDADE,James E McDade Elementary Classical School
610067,MCKAY,Francis M McKay Elementary School
610068,HANSON PARK,Hanson Park Elementary School
610070,MCPHERSON,James B McPherson Elementary School
610073,MITCHELL,Ellen Mitchell Elementary School
610074,MONROE,James Monroe Elementary School
610081,SHERIDAN,Mark Sheridan Math & Science Academy
610076,MOOS,Bernhard Moos Elementary School
610077,MORRILL,Donald Morrill Math & Science Elementary School
610078,INTER-AMERICAN,Inter-American Elementary Magnet School
610082,MOUNT GREENWOOD,Mount Greenwood Elementary School
610084,KELLER,Annie Keller Regional Gifted Center
610086,MOUNT VERNON,Mount Vernon Elementary School
610088,MOZART,Wolfgang A Mozart Elementary School
610089,MURPHY,John B Murphy Elementary School
610090,MURRAY,Phillip Murray Elementary Language Academy
610091,BROWN R,Ronald Brown Elementary Community Academy
610092,NASH,Henry H Nash Elementary School
610093,NEIL,Jane A Neil Elementary School
610094,NETTELHORST,Louis Nettelhorst Elementary School
610095,NEWBERRY,Walter L Newberry Math & Science Academy ES
610096,NIGHTINGALE,Florence Nightingale Elementary School
610097,NIXON,William P Nixon Elementary School
610098,NOBEL,Alfred Nobel Elementary School
610099,NORWOOD PARK,Norwood Park Elementary School
610100,WEST PARK,West Park Elementary Academy
610101,OGDEN ES,William B Ogden Elementary School
610102,OGLESBY,Richard J Oglesby Elementary School
610103,OKEEFFE,Isabelle C O'Keeffe Elementary School
610104,ONAHAN,William J Onahan Elementary School
610105,ORIOLE PARK,Oriole Park Elementary School
610106,PICCOLO,Brian Piccolo Elementary Specialty School
610107,OTIS,James Otis Elementary School
610108,OTOOLE,Luke O'Toole Elementary School
610109,OWEN,William Bishop Owen Scholastic Academy ES
610110,WELLS ES,Ida B Wells Preparatory Elementary Academy
610111,PALMER,John Palmer Elementary School
610112,PARKER,Francis W Parker Elementary Community Academy
610115,PARK MANOR,Park Manor Elementary School
610116,PARKSIDE,Parkside Elementary Community Academy
610117,PASTEUR,Louis Pasteur Elementary School
610120,PECK,Ferdinand Peck Elementary School
610121,IRVING,Washington Irving Elementary School
610122,PEIRCE,Helen Peirce International Studies ES
610123,PENN,William Penn Elementary School
610124,WASHINGTON H ES,Harold Washington Elementary School
610125,RUIZ,Irma C Ruiz Elementary School
610126,PERSHING,John J Pershing Elementary Humanities Magnet
610127,PETERSON,Mary Gage Peterson Elementary School
610128,GARVEY,Marcus Moziah Garvey Elementary School
610129,PICKARD,Josiah Pickard Elementary School
610130,PIRIE,John T Pirie Fine Arts & Academic Center ES
610131,PLAMONDON,Ambrose Plamondon Elementary School
610132,POE,Edgar Allan Poe Elementary Classical School
610133,WARD L,Laura S Ward Elementary School
610135,PORTAGE PARK,Portage Park Elementary School
610136,PRESCOTT,William H Prescott Elementary School
610137,PRUSSING,Ernst Prussing Elementary School
610138,PULASKI,Pulaski International School of Chicago
610139,PULLMAN,George M Pullman Elementary School
610141,RAVENSWOOD,Ravenswood Elementary School
610142,RAY,William H Ray Elementary School
610143,REAVIS,William C Reavis Math & Science Specialty ES
610144,REILLY,Frank W Reilly Elementary School
610145,REINBERG,Peter A Reinberg Elementary School
610146,REVERE,Paul Revere Elementary School
610147,ROGERS,Philip Rogers Elementary School
610148,CHAVEZ,Cesar E Chavez Multicultural Academic Center ES
610152,RUGGLES,Martha Ruggles Elementary School
610153,RYDER,William H Ryder Math & Science Specialty ES
610155,SAUGANASH,Sauganash Elementary School
610157,SAWYER,Sidney Sawyer Elementary School
610158,SAYRE,Harriet E Sayre Elementary Language Academy
610159,SCAMMON,Jonathan Y Scammon Elementary School
610165,SCHUBERT,Franz Peter Schubert Elementary School
610167,SEWARD,William H Seward Communication Arts Academy ES
610170,COLUMBIA EXPLORERS,Columbia Explorers Elementary Academy
610171,MIRELES,Arnold Mireles Elementary Academy
610172,SHERMAN,William T Sherman Elementary School
610173,SHERWOOD,Jesse Sherwood Elementary School
610174,SHIELDS,James Shields Elementary School
610175,SHOESMITH,Beulah Shoesmith Elementary School
610176,SHOOP,John D Shoop Math-Science Technical Academy ES
610177,SKINNER,Mark Skinner Elementary School
610178,SCHMID,Theophilus Schmid Elementary School
610179,SMYSER,Washington D Smyser Elementary School
610180,SMYTH,John M Smyth Elementary School
610182,SOLOMON,Hannah G Solomon Elementary School
610183,SPENCER,Spencer Technology Academy
610199,COLEMON,Johnnie Colemon Elementary Academy
610184,SPRY ES,John Spry Elementary Community School
610185,STEVENSON,Adlai E Stevenson Elementary School
610188,DUNNE,Dunne Technology Academy
610191,STONE,Stone Elementary Scholastic Academy
610192,STOWE,Harriet Beecher Stowe Elementary School
610193,NEW SULLIVAN,William K New Sullivan Elementary School
610194,SUMNER,Charles Sumner  Math & Science Community Acad ES
610195,SUTHERLAND,Elizabeth H Sutherland Elementary School
610196,SWIFT,George B Swift Elementary Specialty School
610197,TALCOTT,Mancel Talcott Elementary School
610198,TAYLOR,Douglas Taylor Elementary School
610200,THORP J,James N Thorp Elementary School
610201,THORP O,Ole A Thorp Elementary Scholastic Academy
610202,TILTON,George W Tilton Elementary School
610203,TONTI,Enrico Tonti Elementary School
610206,TWAIN,Mark Twain Elementary School
610207,VANDERPOEL,John H Vanderpoel Elementary Magnet School
610208,LAVIZZO,Mildred I Lavizzo Elementary School
610209,VOLTA,Alessandro Volta Elementary School
